Description,Task,Project,Client,User,Start,End,Duration,"Duration (decimal)",Billable,Tags
"Ticket Response",,"CRG IT Support","CRG Homes",Benjamin,"2025-12-30 15:15:00","2025-12-30 15:30:00",0:15:00,0.25,Yes,CRG
"Ticket Response",,"Living Beach IT Support","Living Beach",Benjamin,"2025-12-30 14:45:00","2025-12-30 15:15:00",0:30:00,0.5,Yes,"Living Beach"
"Surveillance Station Checks",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 14:00:00","2025-12-30 14:45:00",0:45:00,0.75,Yes,Shared
"NAS Volume Restructuring",,"CRG IT Support","CRG Homes",Benjamin,"2025-12-30 12:45:00","2025-12-30 14:00:00",1:15:00,1.25,Yes,
"NAS Checks (Backups, S.M.A.R.T checks, etc.)",,"CRG IT Support","CRG Homes",Benjamin,"2025-12-30 12:00:00","2025-12-30 12:45:00",0:45:00,0.75,Yes,CRG
"Printers, Print server, Print resources, etc.",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 11:15:00","2025-12-30 12:00:00",0:45:00,0.75,Yes,Shared
"Services Stack (Proxmox, Pihole, ITT, GLPI, etc.)",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 10:30:00","2025-12-30 11:15:00",0:45:00,0.75,Yes,Shared
"Amanda Offboarding Meeting",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 10:00:00","2025-12-30 10:30:00",0:30:00,0.5,Yes,Shared
"Services Stack (Proxmox, Pihole, ITT, GLPI, etc.)",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 09:45:00","2025-12-30 10:00:00",0:15:00,0.25,Yes,Shared
"CrowdStrike alerts, agent maintenance, etc.",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 09:00:00","2025-12-30 09:45:00",0:45:00,0.75,Yes,Shared
"Network Stack Review",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 08:15:00","2025-12-30 09:00:00",0:45:00,0.75,Yes,Shared
"Morning setup and review",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-30 07:30:00","2025-12-30 08:15:00",0:45:00,0.75,Yes,Shared
"Microsoft 365 (Quarantine, access logs, etc.)",,"Living Beach IT Support","Living Beach",Benjamin,"2025-12-16 14:15:00","2025-12-16 15:00:00",0:45:00,0.75,Yes,"Living Beach"
"Microsoft 365 (Quarantine, access logs, etc.)",,"CRG IT Support","CRG Homes",Benjamin,"2025-12-16 13:30:00","2025-12-16 14:15:00",0:45:00,0.75,Yes,CRG
"Surveillance Station Checks",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 13:00:00","2025-12-16 13:30:00",0:30:00,0.5,Yes,Shared
"Ticket Response",,"Living Beach IT Support","Living Beach",Benjamin,"2025-12-16 12:30:00","2025-12-16 13:00:00",0:30:00,0.5,Yes,"Living Beach"
"Ticket Response",,"CRG IT Support","CRG Homes",Benjamin,"2025-12-16 12:00:00","2025-12-16 12:30:00",0:30:00,0.5,Yes,CRG
"CrowdStrike alerts, agent maintenance, etc.",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 11:00:00","2025-12-16 12:00:00",1:00:00,1,Yes,Shared
"Printers, Print server, Print resources, etc.",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 10:30:00","2025-12-16 11:00:00",0:30:00,0.5,Yes,Shared
"Storage Stack Checks (NAS, Logseq, etc.)",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 09:30:00","2025-12-16 10:30:00",1:00:00,1,Yes,Shared
"DNS Service Stack",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 09:00:00","2025-12-16 09:30:00",0:30:00,0.5,Yes,Shared
"Unifi Network Stack",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 07:45:00","2025-12-16 09:00:00",1:15:00,1.25,Yes,Shared
"Morning setup and review",,"Shared IT Support","CRG/LB Shared",Benjamin,"2025-12-16 07:00:00","2025-12-16 07:45:00",0:45:00,0.75,Yes,Shared
